timestamp,asset_tag,parameter,value,unit,quality
2024-01-15 08:00:00,PUMP-P101,discharge_pressure_bar,4.599342830602247,bar,Good
2024-01-15 08:01:00,PUMP-P101,discharge_pressure_bar,4.4723471397657635,bar,Good
2024-01-15 08:02:00,PUMP-P101,discharge_pressure_bar,4.6295377076201385,bar,Good
2024-01-15 08:03:00,PUMP-P101,discharge_pressure_bar,4.804605971281605,bar,Uncertain
2024-01-15 08:04:00,PUMP-P101,discharge_pressure_bar,4.453169325055333,bar,Good
2024-01-15 08:05:00,PUMP-P101,discharge_pressure_bar,4.4531726086101635,bar,Good
2024-01-15 08:06:00,PUMP-P101,discharge_pressure_bar,4.815842563101478,bar,Good
2024-01-15 08:07:00,PUMP-P101,discharge_pressure_bar,4.653486945830582,bar,Good
2024-01-15 08:08:00,PUMP-P101,discharge_pressure_bar,4.40610512281301,bar,Uncertain
2024-01-15 08:09:00,PUMP-P101,discharge_pressure_bar,4.608512008717193,bar,Good
2024-01-15 08:10:00,PUMP-P101,discharge_pressure_bar,4.4073164614375075,bar,Good
2024-01-15 08:11:00,PUMP-P101,discharge_pressure_bar,4.406854049285949,bar,Good
2024-01-15 08:12:00,PUMP-P101,discharge_pressure_bar,4.548392454313207,bar,Good
2024-01-15 08:13:00,PUMP-P101,discharge_pressure_bar,4.11734395106844,bar,Good
2024-01-15 08:14:00,PUMP-P101,discharge_pressure_bar,4.155016433497393,bar,Good
2024-01-15 08:15:00,PUMP-P101,discharge_pressure_bar,4.3875424941518055,bar,Good
2024-01-15 08:16:00,PUMP-P101,discharge_pressure_bar,4.297433775933115,bar,Good
2024-01-15 08:17:00,PUMP-P101,discharge_pressure_bar,4.562849466519054,bar,Uncertain
2024-01-15 08:18:00,PUMP-P101,discharge_pressure_bar,4.318395184895758,bar,Good
2024-01-15 08:19:00,PUMP-P101,discharge_pressure_bar,4.217539259732941,bar,Uncertain
2024-01-15 08:20:00,PUMP-P101,discharge_pressure_bar,4.793129753784311,bar,Good
2024-01-15 08:21:00,PUMP-P101,discharge_pressure_bar,4.4548447399026925,bar,Good
2024-01-15 08:22:00,PUMP-P101,discharge_pressure_bar,4.513505640937585,bar,Good
2024-01-15 08:23:00,PUMP-P101,discharge_pressure_bar,4.215050362757308,bar,Uncertain
2024-01-15 08:24:00,PUMP-P101,discharge_pressure_bar,4.391123455094964,bar,Good
2024-01-15 08:25:00,PUMP-P101,discharge_pressure_bar,4.522184517941973,bar,Uncertain
2024-01-15 08:26:00,PUMP-P101,discharge_pressure_bar,4.269801284515539,bar,Good
2024-01-15 08:27:00,PUMP-P101,discharge_pressure_bar,4.575139603669134,bar,Uncertain
2024-01-15 08:28:00,PUMP-P101,discharge_pressure_bar,4.379872262016239,bar,Uncertain
2024-01-15 08:29:00,PUMP-P101,discharge_pressure_bar,4.441661250041345,bar,Good
2024-01-15 08:30:00,PUMP-P101,discharge_pressure_bar,4.37965867755412,bar,Uncertain
2024-01-15 08:31:00,PUMP-P101,discharge_pressure_bar,4.870455636901788,bar,Good
2024-01-15 08:32:00,PUMP-P101,discharge_pressure_bar,4.497300555052413,bar,Uncertain
2024-01-15 08:33:00,PUMP-P101,discharge_pressure_bar,4.28845781420882,bar,Good
2024-01-15 08:34:00,PUMP-P101,discharge_pressure_bar,4.664508982420638,bar,Good
2024-01-15 08:35:00,PUMP-P101,discharge_pressure_bar,4.255831270005795,bar,Good
2024-01-15 08:36:00,PUMP-P101,discharge_pressure_bar,4.541772719000951,bar,Uncertain
2024-01-15 08:37:00,PUMP-P101,discharge_pressure_bar,4.1080659752240445,bar,Good
2024-01-15 08:38:00,PUMP-P101,discharge_pressure_bar,4.234362790220314,bar,Good
2024-01-15 08:39:00,PUMP-P101,discharge_pressure_bar,4.539372247173825,bar,Uncertain
2024-01-15 08:40:00,PUMP-P101,discharge_pressure_bar,4.647693315999082,bar,Good
2024-01-15 08:41:00,PUMP-P101,discharge_pressure_bar,4.534273656237994,bar,Good
2024-01-15 08:42:00,PUMP-P101,discharge_pressure_bar,4.476870343522352,bar,Good
2024-01-15 08:43:00,PUMP-P101,discharge_pressure_bar,4.439779260882142,bar,Good
2024-01-15 08:44:00,PUMP-P101,discharge_pressure_bar,4.204295601926514,bar,Good
2024-01-15 08:45:00,PUMP-P101,discharge_pressure_bar,4.356031158321058,bar,Good
2024-01-15 08:46:00,PUMP-P101,discharge_pressure_bar,4.407872245808043,bar,Good
2024-01-15 08:47:00,PUMP-P101,discharge_pressure_bar,4.711424445243783,bar,Good
2024-01-15 08:48:00,PUMP-P101,discharge_pressure_bar,4.568723657913692,bar,Good
2024-01-15 08:49:00,PUMP-P101,discharge_pressure_bar,4.147391968927453,bar,Good
2024-01-15 08:50:00,PUMP-P101,discharge_pressure_bar,4.5648167938789594,bar,Good
2024-01-15 08:51:00,PUMP-P101,discharge_pressure_bar,4.422983543916737,bar,Good
2024-01-15 08:52:00,PUMP-P101,discharge_pressure_bar,4.3646155999388085,bar,Good
2024-01-15 08:53:00,PUMP-P101,discharge_pressure_bar,4.6223352577681736,bar,Good
2024-01-15 08:54:00,PUMP-P101,discharge_pressure_bar,4.70619990449919,bar,Uncertain
2024-01-15 08:55:00,PUMP-P101,discharge_pressure_bar,4.68625602382324,bar,Good
2024-01-15 08:56:00,PUMP-P101,discharge_pressure_bar,4.3321564953554725,bar,Good
2024-01-15 08:57:00,PUMP-P101,discharge_pressure_bar,4.438157524829757,bar,Good
2024-01-15 08:58:00,PUMP-P101,discharge_pressure_bar,4.566252686280713,bar,Good
2024-01-15 08:59:00,PUMP-P101,discharge_pressure_bar,4.695109025424472,bar,Good
2024-01-15 09:00:00,PUMP-P101,discharge_pressure_bar,4.404165152430942,bar,Uncertain
2024-01-15 09:01:00,PUMP-P101,discharge_pressure_bar,4.462868204667236,bar,Good
2024-01-15 09:02:00,PUMP-P101,discharge_pressure_bar,4.278733005198794,bar,Good
2024-01-15 09:03:00,PUMP-P101,discharge_pressure_bar,4.260758675183866,bar,Uncertain
2024-01-15 09:04:00,PUMP-P101,discharge_pressure_bar,4.66250516447884,bar,Good
2024-01-15 09:05:00,PUMP-P101,discharge_pressure_bar,4.771248005714164,bar,Uncertain
2024-01-15 09:06:00,PUMP-P101,discharge_pressure_bar,4.485597975683933,bar,Uncertain
2024-01-15 09:07:00,PUMP-P101,discharge_pressure_bar,4.700706579578405,bar,Uncertain
2024-01-15 09:08:00,PUMP-P101,discharge_pressure_bar,4.572327205009527,bar,Good
2024-01-15 09:09:00,PUMP-P101,discharge_pressure_bar,4.370976049078975,bar,Good
2024-01-15 09:10:00,PUMP-P101,discharge_pressure_bar,4.572279121101682,bar,Uncertain
